DATE,MONTH,FY,MC,MACHINE_NO,FACTORY,HOUR,CYCLE,JOB,COST,COST_CONTRIBUTION
30-Apr-22,APR,FY_22,TS,NA,ISBD,720,NA,1,16207.2,272792.8
30-Apr-22,APR,FY_22,TS,NA,SSBU,528,NA,1,11885.28,200314.72
30-Apr-22,APR,FY_22,TS,NA,CXBU-SP,720,NA,1,16207.2,272792.8
30-Apr-22,APR,FY_22,TH,NA,CXBU-SP,240,NA,1,2090.4,22909.6
30-Apr-22,APR,FY_22,TH,NA,CXBU-ED,48,NA,1,418.08,5381.92
30-Apr-22,APR,FY_22,TH,NA,CXBU-SP,288,NA,1,2508.48,27291.52
30-Apr-22,APR,FY_22,TH,NA,CXBU-SP,624,NA,1,5435.04,57964.96
30-Apr-22,APR,FY_22,TE,NA,CXBU-ED,216,NA,1,6529.68,3110.32
30-Apr-22,APR,FY_22,TE,NA,ISBD,192,NA,1,5804.16,2875.84
30-Apr-22,APR,FY_22,TE,NA,CXBU-ED,156,NA,1,4715.88,2524.12
30-Apr-22,APR,FY_22,TE,NA,CXBU-SP,156,NA,1,4715.88,2524.12
30-Apr-22,APR,FY_22,TE,NA,CXBU-ED,120,NA,1,3627.6,2172.4
30-Apr-22,APR,FY_22,TE,NA,SSBU,48,NA,1,1451.04,1468.96
30-Apr-22,APR,FY_22,VI,NA,CXBU-ED,20,NA,1,8210.8,59769.2
30-Apr-22,APR,FY_22,VI,NA,CXBU-SP,20,NA,1,8210.8,59769.2
30-Apr-22,APR,FY_22,CMM,NA,CXBU-SP,34.5,NA,1,13127.25,62772.75
30-Apr-22,APR,FY_22,CMM,NA,CXBU-ED,2,NA,1,761,3639
30-May-22,MAY,FY_22,TS,NA,ISBD,200,NA,1,4502,76498
30-May-22,MAY,FY_22,TS,NA,CXBU-SP,154,NA,1,3466.54,59133.46
30-May-22,MAY,FY_22,TS,NA,CXBU-ED,480,NA,1,10804.8,182195.2
30-May-22,MAY,FY_22,TS,NA,CXBU-SP,720,NA,1,16207.2,272792.8
30-May-22,MAY,FY_22,TH,NA,CXBU-ED,96,NA,1,836.16,9763.84
30-May-22,MAY,FY_22,TH,NA,ISBD,96,NA,1,836.16,9763.84
30-May-22,MAY,FY_22,TH,NA,CXBU-SP,720,NA,1,6271.2,66728.8
30-May-22,MAY,FY_22,TH,NA,CXBU-SP,192,NA,1,1672.32,18527.68
30-May-22,MAY,FY_22,TH,NA,CXBU-ED,96,NA,1,836.16,9763.84
30-May-22,MAY,FY_22,TH,NA,CXBU-ED,1,NA,4,8.71,4091.29
30-May-22,MAY,FY_22,TE,NA,CXBU-SP,96,NA,1,2902.08,1937.92
30-May-22,MAY,FY_22,TE,NA,ISBD,10,NA,1,302.3,1097.7
30-May-22,MAY,FY_22,TE,NA,ISBD,48,NA,1,1451.04,1468.96
30-May-22,MAY,FY_22,TE,NA,ISBD,48,NA,1,1451.04,1468.96
30-May-22,MAY,FY_22,TE,NA,ISBD,48,NA,1,1451.04,1468.96
30-May-22,MAY,FY_22,TE,NA,ISBD,24,NA,1,725.52,1234.48
30-May-22,MAY,FY_22,VI,NA,CXBU-SP,22,NA,1,9031.88,64228.12
30-May-22,MAY,FY_22,CMM,NA,CXBU-SP,19,NA,1,7229.5,34570.5
30-May-22,MAY,FY_22,CMM,NA,DSBU,2,NA,1,761,3639
30-May-22,MAY,FY_22,CMM,NA,CXBU-ED,13,NA,1,4946.5,23653.5
30-May-22,MAY,FY_22,CMM,NA,SSBU,3,NA,1,1141.5,5458.5
30-May-22,MAY,FY_22,CMM,NA,SSBU,3,NA,1,1141.5,5458.5
30-May-22,MAY,FY_22,CMM,NA,SSBU,1.5,NA,1,570.75,2729.25
30-Jun-22,JUN,FY_22,TS,NA,SSBU,720,NA,1,16207.2,272792.8
30-Jun-22,JUN,FY_22,TS,NA,CXBU-ED,720,NA,1,16207.2,272792.8
30-Jun-22,JUN,FY_22,TS,NA,CXBU-SP,720,NA,1,16207.2,272792.8
30-Jun-22,JUN,FY_22,TS,NA,ISBD,552,NA,1,12425.52,209374.48
30-Jun-22,JUN,FY_22,TH,NA,SSBU,720,NA,1,6271.2,66728.8
30-Jun-22,JUN,FY_22,TH,NA,CXBU-ED,30,NA,1,261.3,3738.7
30-Jun-22,JUN,FY_22,TH,NA,CXBU-SP,500,NA,1,4355,46645
30-Jun-22,JUN,FY_22,TH,NA,CXBU-ED,74,NA,1,644.54,7755.46
30-Jun-22,JUN,FY_22,TE,NA,SSBU,720,NA,1,21765.6,8034.4
30-Jun-22,JUN,FY_22,TE,NA,ISBD,214,NA,1,6469.22,3090.78
30-Jun-22,JUN,FY_22,TE,NA,SSBU,720,NA,1,21765.6,8034.4
30-Jun-22,JUN,FY_22,TE,NA,CXBU-ED,2,NA,1,60.46,1019.54
30-Jun-22,JUN,FY_22,TE,NA,CXBU-ED,720,NA,1,21765.6,8034.4
30-Jun-22,JUN,FY_22,VI,NA,ISBD,36,NA,1,14779.44,95440.56
30-Jun-22,JUN,FY_22,VI,NA,DSBU,2,NA,1,821.08,9078.92
30-Jun-22,JUN,FY_22,VI,NA,CXBU-ED,4,NA,1,1642.16,17057.84
30-Jun-22,JUN,FY_22,CMM,NA,DSBU,1,NA,1,380.5,1819.5
30-Jun-22,JUN,FY_22,CMM,NA,CXBU-SP,9,NA,1,3424.5,16375.5
30-Jun-22,JUN,FY_22,CMM,NA,CXBU-ED,2,NA,1,761,3639
30-Jun-22,JUN,FY_22,CMM,NA,CXBU-ED,2,NA,1,761,3639
30-Jul-22,JUL,FY_22,TS,NA,SSBU,432,NA,1,9724.32,164075.68
30-Jul-22,JUL,FY_22,TS,NA,CXBU-SP,308,NA,1,6933.08,117266.92
30-Jul-22,JUL,FY_22,TS,NA,CXBU-SP,720,NA,1,16207.2,272792.8
30-Jul-22,JUL,FY_22,TS,NA,CXBU-ED,720,NA,1,16207.2,272792.8
30-Jul-22,JUL,FY_22,TS,NA,ISBD,720,NA,1,16207.2,272792.8
31-Jul-22,JUL,FY_22,TH,NA,CXBU-ED,624,NA,1,5435.04,57964.96
31-Jul-22,JUL,FY_22,TH,NA,CXBU-ED,360,NA,1,3135.6,33864.4
31-Jul-22,JUL,FY_22,TH,NA,CXBU-SP,324,NA,1,2822.04,30577.96
31-Jul-22,JUL,FY_22,TH,NA,CXBU-SP,324,NA,1,2822.04,30577.96
31-Jul-22,JUL,FY_22,TH,NA,CXBU-ED,588,NA,1,5121.48,54678.52
31-Jul-22,JUL,FY_22,TE,NA,CXBU-ED,288,NA,1,8706.24,3813.76
31-Jul-22,JUL,FY_22,TE,NA,ISBD,220,NA,1,6650.6,3149.4
31-Jul-22,JUL,FY_22,TE,NA,CXBU-ED,576,NA,1,17412.48,6627.52
31-Jul-22,JUL,FY_22,TE,NA,SSBU,18,NA,1,544.14,1175.86
31-Jul-22,JUL,FY_22,VI,NA,CXBU-SP,54,NA,1,22169.16,135570.84
31-Jul-22,JUL,FY_22,VI,NA,PWDBU,3,NA,1,1231.62,13068.38
31-Jul-22,JUL,FY_22,CMM,NA,SSBU,1,NA,1,380.5,1819.5
31-Jul-22,JUL,FY_22,CMM,NA,CXBU-SP,19,NA,1,7229.5,34570.5
31-Jul-22,JUL,FY_22,CMM,NA,CXBU-ED,10,NA,1,3805,18195
31-Aug-22,AUG,FY_22,TS,NA,CXBU-SP,1488,NA,1,33494.88,562705.12
31-Aug-22,AUG,FY_22,TS,NA,ISBD,400,NA,1,9004,151996
31-Aug-22,AUG,FY_22,TS,NA,ISBD,720,NA,1,16207.2,272792.8
31-Aug-22,AUG,FY_22,TS,NA,ISBD,720,NA,1,16207.2,272792.8
31-Aug-22,AUG,FY_22,TH,NA,CXBU-ED,192,NA,1,1672.32,18527.68
31-Aug-22,AUG,FY_22,TH,NA,CXBU-SP,1220,NA,1,10626.2,112373.8
31-Aug-22,AUG,FY_22,TE,NA,CXBU-ED,1446,NA,1,43712.58,15127.42
31-Aug-22,AUG,FY_22,TE,NA,ISBD,300,NA,1,9069,3931
31-Aug-22,AUG,FY_22,TE,NA,SSBU,30,NA,1,906.9,1293.1
31-Aug-22,AUG,FY_22,CMM,NA,SSBU,6,NA,1,2283,10917
31-Aug-22,AUG,FY_22,CMM,NA,DSBU,1,NA,1,380.5,1819.5
31-Aug-22,AUG,FY_22,CMM,NA,CXBU-SP,9,NA,1,3424.5,16375.5
31-Aug-22,AUG,FY_22,CMM,NA,CXBU-ED,19,NA,1,7229.5,34570.5
31-Aug-22,AUG,FY_22,VI,NA,CXBU-SP,16,NA,1,6568.64,50851.36
31-Aug-22,AUG,FY_22,VI,NA,PWDBU,2,NA,1,821.08,9078.92
30-Sep-22,SEP,FY_22,TS,NA,ISBD,400,NA,1,9004,151996
30-Sep-22,SEP,FY_22,TS,NA,ISBD,400,NA,1,9004,151996
30-Sep-22,SEP,FY_22,TS,NA,CXBU-SP,720,NA,1,16207.2,272792.8
30-Sep-22,SEP,FY_22,TS,NA,CXBU-ED,720,NA,1,16207.2,272792.8
30-Sep-22,SEP,FY_22,TS,NA,CXBU-ED,780,NA,1,17557.8,295442.2
30-Sep-22,SEP,FY_22,TH,NA,CXBU-ED,96,NA,1,836.16,9763.84
30-Sep-22,SEP,FY_22,TH,NA,CXBU-ED,72,NA,1,627.12,7572.88
30-Sep-22,SEP,FY_22,TH,NA,CXBU-ED,48,NA,1,418.08,5381.92
