DATE,MONTH,FY,MC,MACHINE_NO,OPERATION_RATE
30-Apr-23,APR,FY_23,TE,TE1,35%
30-Apr-23,APR,FY_23,TE,TE2,17%
30-Apr-23,APR,FY_23,TE,TE3,43%
30-Apr-23,APR,FY_23,TE,TE4,62%
30-Apr-23,APR,FY_23,TS,TS1,73%
30-Apr-23,APR,FY_23,TS,TS2,0%
30-Apr-23,APR,FY_23,TS,TS3,74%
30-Apr-23,APR,FY_23,TS,TS4,74%
30-Apr-23,APR,FY_23,TH,TH1,52%
30-Apr-23,APR,FY_23,TH,TH2,63%
30-Apr-23,APR,FY_23,TH,TH3,34%
30-Apr-23,APR,FY_23,TH,TH4,60%
30-Apr-23,APR,FY_23,TENSILE,TENSILE,2%
30-Apr-23,APR,FY_23,VI,VI,7%
30-Apr-23,APR,FY_23,CMM,CMM,1%
30-Apr-23,APR,FY_23,CHILLER,CHILLER 10T,100%
30-Apr-23,APR,FY_23,CHILLER,CHILLER 15T NO.1,100%
30-Apr-23,APR,FY_23,CHILLER,CHILLER 15T NO.2,100%
30-May-23,MAY,FY_23,TE,TE1,36%
30-May-23,MAY,FY_23,TE,TE2,47%
30-May-23,MAY,FY_23,TE,TE3,40%
30-May-23,MAY,FY_23,TE,TE4,30%
30-May-23,MAY,FY_23,TS,TS1,96%
30-May-23,MAY,FY_23,TS,TS2,0%
30-May-23,MAY,FY_23,TS,TS3,96%
30-May-23,MAY,FY_23,TS,TS4,96%
30-May-23,MAY,FY_23,TH,TH1,56%
30-May-23,MAY,FY_23,TH,TH2,93%
30-May-23,MAY,FY_23,TH,TH3,89%
30-May-23,MAY,FY_23,TH,TH4,41%
30-May-23,MAY,FY_23,TENSILE,TENSILE,8%
30-May-23,MAY,FY_23,VI,VI,10%
30-May-23,MAY,FY_23,CMM,CMM,10%
30-May-23,MAY,FY_23,CHILLER,CHILLER 10T,100%
30-May-23,MAY,FY_23,CHILLER,CHILLER 15T NO.1,100%
30-May-23,MAY,FY_23,CHILLER,CHILLER 15T NO.2,100%
30-Jun-23,JUN,FY_23,TE,TE1,0%
30-Jun-23,JUN,FY_23,TE,TE2,49%
30-Jun-23,JUN,FY_23,TE,TE3,35%
30-Jun-23,JUN,FY_23,TE,TE4,5%
30-Jun-23,JUN,FY_23,TS,TS1,87%
30-Jun-23,JUN,FY_23,TS,TS2,0%
30-Jun-23,JUN,FY_23,TS,TS3,62%
30-Jun-23,JUN,FY_23,TS,TS4,95%
30-Jun-23,JUN,FY_23,TH,TH1,82%
30-Jun-23,JUN,FY_23,TH,TH2,95%
30-Jun-23,JUN,FY_23,TH,TH3,76%
30-Jun-23,JUN,FY_23,TH,TH4,90%
30-Jun-23,JUN,FY_23,TENSILE,TENSILE,3%
30-Jun-23,JUN,FY_23,VI,VI,2%
30-Jun-23,JUN,FY_23,CMM,CMM,16%
30-Jun-23,JUN,FY_23,CHILLER ,CHILLER 10T,100%
30-Jun-23,JUN,FY_23,CHILLER ,CHILLER 15T NO.1,100%
30-Jun-23,JUN,FY_23,CHILLER ,CHILLER 15T NO.2,100%
30-Jul-23,JUL,FY_23,TE,TE1,44%
30-Jul-23,JUL,FY_23,TE,TE2,41%
30-Jul-23,JUL,FY_23,TE,TE3,35%
30-Jul-23,JUL,FY_23,TE,TE4,51%
30-Jul-23,JUL,FY_23,TS,TS1,77%
30-Jul-23,JUL,FY_23,TS,TS2,0%
30-Jul-23,JUL,FY_23,TS,TS3,70%
30-Jul-23,JUL,FY_23,TS,TS4,100%
30-Jul-23,JUL,FY_23,TH,TH1,78%
30-Jul-23,JUL,FY_23,TH,TH2,73%
30-Jul-23,JUL,FY_23,TH,TH3,99%
30-Jul-23,JUL,FY_23,TH,TH4,66%
30-Jul-23,JUL,FY_23,TENSILE,TENSILE,1%
30-Jul-23,JUL,FY_23,VI,VI,44%
30-Jul-23,JUL,FY_23,CMM,CMM,14%
30-Jul-23,JUL,FY_23,CHILLER ,CHILLER 10T,100%
30-Jul-23,JUL,FY_23,CHILLER ,CHILLER 15T NO.1,100%
30-Jul-23,JUL,FY_23,CHILLER ,CHILLER 15T NO.2,100%
30-Aug-23,AUG,FY_23,TE,TE1,40%
30-Aug-23,AUG,FY_23,TE,TE2,10%
30-Aug-23,AUG,FY_23,TE,TE3,12%
30-Aug-23,AUG,FY_23,TE,TE4,40%
30-Aug-23,AUG,FY_23,TS,TS1,100%
30-Aug-23,AUG,FY_23,TS,TS2,0%
30-Aug-23,AUG,FY_23,TS,TS3,76%
30-Aug-23,AUG,FY_23,TS,TS4,92%
30-Aug-23,AUG,FY_23,TH,TH1,71%
30-Aug-23,AUG,FY_23,TH,TH2,73%
30-Aug-23,AUG,FY_23,TH,TH3,100%
30-Aug-23,AUG,FY_23,TH,TH4,0%
30-Aug-23,AUG,FY_23,TENSILE,TENSILE,1%
30-Aug-23,AUG,FY_23,VI,VI,11%
30-Aug-23,AUG,FY_23,CMM,CMM,5%
30-Aug-23,AUG,FY_23,CHILLER ,CHILLER 10T,71%
30-Aug-23,AUG,FY_23,CHILLER ,CHILLER 15T NO.1,100%
30-Aug-23,AUG,FY_23,CHILLER ,CHILLER 15T NO.2,100%
30-Sep-23,SEP,FY_23,TE,TE1,53%
30-Sep-23,SEP,FY_23,TE,TE2,21%
